epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,25402.2,0.75033,0.65103,1.28711,0.87925,0.87075,0.89818,0.70758,0.78794,0.60909,1.43053,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,25716.4,0.74535,0.65478,1.28441,0.87008,0.87962,0.89793,0.70793,0.78768,0.60878,1.4304,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,26030.7,0.73814,0.64987,1.28556,0.87365,0.876,0.89755,0.7083,0.78788,0.61081,1.43049,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,26343.9,0.74577,0.65308,1.2903,0.87231,0.87835,0.89777,0.70836,0.78765,0.61086,1.43003,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,26658.1,0.74042,0.63904,1.28165,0.87,0.87906,0.89772,0.70819,0.7877,0.61268,1.43102,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,26973.5,0.73732,0.64986,1.2835,0.87748,0.87385,0.89715,0.7084,0.78723,0.61299,1.43127,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
87,27286.3,0.73622,0.64589,1.27917,0.86876,0.87761,0.89703,0.70719,0.78606,0.61549,1.43067,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
88,27601,0.73119,0.63767,1.27194,0.86403,0.88224,0.8978,0.70802,0.78528,0.6156,1.42935,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538,0.0181614,0.0060538
89,27914.3,0.73512,0.63824,1.27724,0.8738,0.87324,0.89767,0.70773,0.78546,0.61667,1.43024,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
90,28229.6,0.72936,0.63781,1.27588,0.86733,0.88024,0.89769,0.70707,0.78476,0.61697,1.43038,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105,0.0177031,0.00590105
91,28542.4,0.72217,0.63318,1.26379,0.87584,0.87231,0.89687,0.7071,0.78385,0.61669,1.43017,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
92,28857.1,0.71463,0.62602,1.26356,0.8727,0.8782,0.89696,0.70769,0.78273,0.61699,1.42931,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746,0.0172424,0.00574746
93,29171.2,0.71272,0.6165,1.26136,0.87471,0.87657,0.89706,0.70748,0.78176,0.6181,1.42827,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
94,29484.5,0.70618,0.61349,1.25931,0.87348,0.87582,0.89677,0.7078,0.78068,0.62016,1.42721,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318,0.0167796,0.00559318
95,29798.6,0.7073,0.61171,1.25882,0.87252,0.87784,0.897,0.70843,0.77964,0.61989,1.42651,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
96,30113.6,0.70504,0.60751,1.25266,0.87162,0.87954,0.89681,0.70826,0.77873,0.61922,1.42569,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
97,30427.8,0.69775,0.60151,1.25288,0.8759,0.87407,0.89683,0.70864,0.77803,0.61968,1.42488,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
98,30742.7,0.69837,0.6051,1.25252,0.86733,0.88299,0.8966,0.70835,0.77744,0.62068,1.42478,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318,0.0158495,0.00528318
99,31057,0.69665,0.59734,1.2438,0.86714,0.88251,0.89721,0.70791,0.7772,0.62162,1.42455,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,31370.3,0.69036,0.59879,1.24353,0.86647,0.88276,0.89695,0.70824,0.77673,0.62242,1.42419,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,31683.7,0.6913,0.5999,1.24311,0.87114,0.87909,0.89597,0.70793,0.77675,0.62275,1.42446,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,31997.5,0.68443,0.58961,1.24098,0.87471,0.8742,0.8962,0.70829,0.77638,0.62372,1.42435,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,32309.6,0.68712,0.58497,1.24385,0.87619,0.8712,0.89633,0.7084,0.77578,0.62489,1.42397,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,32624.3,0.68111,0.58412,1.23648,0.87576,0.8724,0.89632,0.70863,0.77465,0.62656,1.42294,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,32938.2,0.68198,0.58833,1.23704,0.87592,0.87206,0.89612,0.70899,0.77392,0.62783,1.42227,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,33252.1,0.67806,0.5826,1.23031,0.87648,0.87099,0.89601,0.70869,0.77353,0.62819,1.42201,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,33565.9,0.67234,0.58198,1.23147,0.87526,0.87165,0.89592,0.70829,0.77336,0.6287,1.42201,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,33879.4,0.66987,0.57276,1.22448,0.87829,0.8698,0.89591,0.70844,0.77317,0.62969,1.42211,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,34193.6,0.6646,0.56701,1.22198,0.87755,0.86978,0.89594,0.70882,0.77321,0.63138,1.42209,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,34507.5,0.66222,0.56924,1.22136,0.87931,0.8694,0.89631,0.70901,0.77277,0.63275,1.42161,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,34822.3,0.65781,0.55262,1.22074,0.87967,0.86856,0.89641,0.70909,0.77255,0.63388,1.42152,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,35137,0.65481,0.56305,1.21781,0.87914,0.86778,0.8961,0.70885,0.77207,0.63421,1.42118,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,35451,0.65291,0.55328,1.21677,0.87866,0.86761,0.89588,0.70935,0.77153,0.63454,1.42052,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,35764.8,0.64785,0.55456,1.20813,0.87941,0.86715,0.89601,0.70921,0.77114,0.63425,1.42056,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,36079.5,0.64169,0.55284,1.20421,0.87773,0.86888,0.89604,0.7093,0.77117,0.63473,1.42073,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,36392.4,0.64332,0.54744,1.20828,0.8787,0.86845,0.89571,0.70891,0.77102,0.63527,1.42075,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,36705.7,0.64058,0.54506,1.20551,0.87698,0.86917,0.89574,0.70915,0.77006,0.63649,1.41969,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,37020.3,0.64182,0.5452,1.20388,0.87739,0.86925,0.8956,0.70903,0.77006,0.63655,1.41992,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,37334.2,0.64052,0.53916,1.20553,0.87825,0.86836,0.89581,0.70959,0.76973,0.63712,1.41954,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,37647.9,0.63093,0.54104,1.19822,0.87715,0.86909,0.89587,0.70957,0.76898,0.63649,1.41888,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,37962.5,0.62764,0.52993,1.19418,0.8781,0.86938,0.89599,0.70969,0.76866,0.63652,1.41859,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,38277.5,0.6256,0.53072,1.19335,0.87802,0.86919,0.89525,0.70967,0.76822,0.63651,1.41852,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,38590.5,0.62435,0.52677,1.19247,0.87636,0.86969,0.89514,0.70977,0.7677,0.63706,1.4183,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,38903.3,0.6179,0.52178,1.18984,0.87643,0.86977,0.89499,0.70977,0.76732,0.63669,1.41836,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
125,39217.6,0.61534,0.52367,1.18904,0.877,0.87005,0.89495,0.70932,0.76709,0.63696,1.41826,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,39532.1,0.61782,0.51853,1.18441,0.87767,0.87019,0.89422,0.70866,0.7666,0.63657,1.41797,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
127,39845.4,0.60984,0.51568,1.18327,0.87861,0.86828,0.89433,0.70904,0.76599,0.63637,1.41747,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
128,40159.5,0.60704,0.51072,1.18156,0.87836,0.86792,0.89479,0.70947,0.76574,0.63652,1.41754,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013
